dept,course,sectionNumber,term,day,startTime,endTime,buildingCd,building,roomNo,instructors,activity,credits,totalSeatsRemaining,currentlyRegistered,generalSeatsRemaining,restrictedSeatsRemaining,termCd,startWk,endWk
"CPSC","110","203","2","Thu","9:30","11:00","SWNG","West Mall Swing Space","121","CARTER, PAUL MARTIN","Lecture","4","0","154","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","2W1","2","Tue","15:30","17:00"," "," "," ","TBD","Waiting List","4","949","50","949","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","L2H","2","Thu","14:00","17:00","ICCS","Institute for Computing (ICICS/CS)","X260","TBD","Laboratory","n/a","0","26","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","2W1","2","Thu","15:30","17:00"," "," "," ","TBD","Waiting List","4","949","50","949","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","201","2","Tue","15:30","17:00","DMP","Hugh Dempster Pavilion","310","ESTEY, ANTHONY","Lecture","4","0","133","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","L11","1","Wed","18:00","21:00","ICCS","Institute for Computing (ICICS/CS)","X260","TBD","Laboratory","n/a","0","27","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","110","201","2","Thu","15:30","17:00","DMP","Hugh Dempster Pavilion","310","ESTEY, ANTHONY","Lecture","4","0","133","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","221","201","2","Mon","17:00","18:00","PHRM","Pharmaceutical Sciences Building","1201","TIEN, GEOFFREY","Lecture","4","31","130","0","31","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","221","201","2","Fri","17:00","18:00","PHRM","Pharmaceutical Sciences Building","1201","TIEN, GEOFFREY","Lecture","4","31","130","0","31","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","221","201","2","Wed","17:00","18:00","PHRM","Pharmaceutical Sciences Building","1201","TIEN, GEOFFREY","Lecture","4","31","130","0","31","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","L1T","1","Tue","15:30","18:30","ICCS","Institute for Computing (ICICS/CS)","X250","TBD","Laboratory","n/a","0","27","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","110","L1L","1","Thu","17:00","20:00","ICCS","Institute for Computing (ICICS/CS)","X260","TBD","Laboratory","n/a","0","27","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","221","L2C","2","Thu","16:00","18:00","ICCS","Institute for Computing (ICICS/CS)","015","TBD","Laboratory","n/a","0","26","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","L1E","1","Tue","12:30","15:30","ICCS","Institute for Computing (ICICS/CS)","X260","TBD","Laboratory","n/a","0","27","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","221","L2G","2","Tue","11:00","13:00","ICCS","Institute for Computing (ICICS/CS)","015","TBD","Laboratory","n/a","0","26","0","0","2","Jan 03, 2018","Apr 06, 2018"
